# git commit hash:    b7b33e2 
time    x    y    theta    theta_t    phi_l    phi_1_t    v    w    
+4.350000e+01    +8.513614e-05    -2.053318e-09    -7.194837e-06    -1.053464e-08    +2.590410e+01    +2.471114e+01    +1.368536e-04    +3.120343e-05    
+4.375000e+01    +7.860597e-05    -2.004172e-09    -8.382766e-06    -1.028296e-08    +2.590391e+01    +2.471096e+01    -1.890950e-04    -4.070686e-05    
+4.400000e+01    +7.012334e-05    -1.917256e-09    -7.992112e-06    -9.837673e-09    +2.590367e+01    +2.471071e+01    +1.212340e-04    +4.383210e-05    
+4.425000e+01    +7.217161e-05    -1.936999e-09    -6.225496e-06    -9.938820e-09    +2.590372e+01    +2.471077e+01    -1.048478e-04    -2.969917e-05    
+4.450000e+01    +7.041911e-05    -1.923318e-09    -6.052860e-06    -9.868747e-09    +2.590367e+01    +2.471072e+01    +9.082783e-05    +3.108026e-05    
+4.475000e+01    +5.607836e-05    -1.852893e-09    -6.253137e-06    -9.508307e-09    +2.590326e+01    +2.471031e+01    -2.055538e-04    -3.268247e-05    
+4.500000e+01    +6.459175e-05    -1.913076e-09    -5.890808e-06    -9.816514e-09    +2.590350e+01    +2.471056e+01    +2.736609e-04    +3.558111e-05    
+4.525000e+01    +6.394055e-05    -1.898747e-09    -6.867787e-06    -9.743064e-09    +2.590349e+01    +2.471054e+01    -2.788704e-04    -4.339694e-05    
+4.550000e+01    +2.188667e-05    -1.490034e-09    -1.152939e-05    -7.648998e-09    +2.590230e+01    +2.470934e+01    -5.756060e-05    +6.104124e-06    
+4.575000e+01    +4.631983e-06    -1.268237e-09    -1.590404e-05    -6.512206e-09    +2.590182e+01    +2.470884e+01    -8.047692e-05    -4.110130e-05    
+4.600000e+01    -5.053327e-06    -1.093833e-09    -1.844342e-05    -5.618127e-09    +2.590156e+01    +2.470857e+01    +2.994443e-06    +2.078626e-05    
+4.625000e+01    -1.894572e-05    -8.682001e-10    -1.581885e-05    -4.461394e-09    +2.590115e+01    +2.470817e+01    -1.141336e-04    +2.102692e-07    
+4.650000e+01    -1.519602e-05    -8.978352e-10    -1.134736e-05    -4.613283e-09    +2.590124e+01    +2.470828e+01    +1.441311e-04    +3.556169e-05    
+4.675000e+01    +9.045494e-07    -1.044614e-09    -5.447692e-06    -5.365578e-09    +2.590168e+01    +2.470874e+01    -1.532650e-05    +1.163562e-05    
+4.700000e+01    +2.127087e-06    -1.060862e-09    -1.359363e-05    -5.448871e-09    +2.590175e+01    +2.470877e+01    +2.510681e-05    -7.680309e-05    
+4.725000e+01    -7.442394e-06    -8.804290e-10    -1.697662e-05    -4.523816e-09    +2.590148e+01    +2.470850e+01    -1.016627e-04    +4.973917e-05    
+4.750000e+01    -1.735287e-05    -7.327907e-10    -1.688065e-05    -3.766907e-09    +2.590120e+01    +2.470822e+01    +2.237882e-05    -4.897148e-05    
+4.775000e+01    -1.721556e-05    -7.372925e-10    -1.467686e-05    -3.789990e-09    +2.590120e+01    +2.470822e+01    -2.128029e-05    +6.660181e-05    
+4.800000e+01    -5.366347e-06    -8.289224e-10    -7.424647e-06    -4.259642e-09    +2.590151e+01    +2.470856e+01    +1.160740e-04    -8.584089e-06    
+4.825000e+01    +5.655566e-06    -9.156495e-10    -8.834556e-06    -4.704143e-09    +2.590183e+01    +2.470887e+01    -2.789867e-05    -2.695178e-06    
+4.850000e+01    +4.578298e-06    -9.130712e-10    -2.015185e-05    -4.690947e-09    +2.590184e+01    +2.470884e+01    +1.928053e-05    -8.784319e-05    
+4.875000e+01    -2.634319e-06    -6.991270e-10    -2.972116e-05    -3.593950e-09    +2.590166e+01    +2.470864e+01    -7.698146e-05    +1.128870e-05    
+4.900000e+01    +1.334662e-05    -1.096522e-09    -2.346465e-05    -5.631493e-09    +2.590210e+01    +2.470909e+01    +2.048290e-04    +3.876340e-05    
+4.925000e+01    +1.873307e-05    -1.238021e-09    -1.938877e-05    -6.356970e-09    +2.590224e+01    +2.470925e+01    -1.617374e-04    -6.156350e-06    
+4.950000e+01    +4.879809e-06    -9.660586e-10    -1.838445e-05    -4.962691e-09    +2.590184e+01    +2.470885e+01    +5.091136e-05    +1.419086e-05    
+4.975000e+01    +4.463071e-06    -9.587629e-10    -1.833323e-05    -4.925288e-09    +2.590183e+01    +2.470884e+01    -5.424526e-05    -1.378106e-05    
+5.000000e+01    +1.125763e-05    -1.083120e-09    -1.760668e-05    -5.562834e-09    +2.590202e+01    +2.470903e+01    +1.086018e-04    +1.959346e-05    
+5.025000e+01    +2.273867e-06    -9.566936e-10    -1.489918e-05    -4.914736e-09    +2.590175e+01    +2.470878e+01    -1.804719e-04    +2.066513e-06    
+5.050000e+01    +6.249202e-06    -9.736502e-10    -1.048887e-05    -5.001596e-09    +2.590185e+01    +2.470889e+01    +2.122746e-04    +3.321600e-05    
+5.075000e+01    +1.250387e-05    -1.039276e-09    -8.970991e-06    -5.337975e-09    +2.590203e+01    +2.470907e+01    -1.622373e-04    -2.107301e-05    
+5.100000e+01    -1.914409e-06    -8.965052e-10    -1.067410e-05    -4.606184e-09    +2.590162e+01    +2.470866e+01    +4.689107e-05    +7.448142e-06    
+5.125000e+01    -2.294408e-06    -8.874324e-10    -1.306922e-05    -4.559665e-09    +2.590162e+01    +2.470865e+01    -4.993106e-05    -2.660908e-05    
+5.150000e+01    +4.398280e-06    -9.908339e-10    -1.463793e-05    -5.089763e-09    +2.590181e+01    +2.470884e+01    +1.034726e-04    +1.405938e-05    
+5.175000e+01    -3.337732e-06    -8.921650e-10    -1.341064e-05    -4.583962e-09    +2.590159e+01    +2.470862e+01    -1.653607e-04    -4.241020e-06    
+5.200000e+01    +4.116913e-06    -9.544012e-10    -9.732441e-06    -4.902943e-09    +2.590179e+01    +2.470883e+01    +2.249978e-04    +3.366658e-05    
+5.225000e+01    +6.411693e-06    -9.928305e-10    -7.384885e-06    -5.099960e-09    +2.590185e+01    +2.470889e+01    -2.066396e-04    -1.488614e-05    
+5.250000e+01    -1.110806e-05    -8.524317e-10    -8.390316e-06    -4.380393e-09    +2.590135e+01    +2.470839e+01    +6.648155e-05    +6.842695e-06    
+5.275000e+01    -7.641178e-06    -8.786430e-10    -1.021211e-05    -4.514730e-09    +2.590145e+01    +2.470849e+01    -3.874649e-05    -2.141704e-05    
+5.300000e+01    -7.701938e-07    -9.622442e-10    -1.165816e-05    -4.943288e-09    +2.590166e+01    +2.470869e+01    +9.371436e-05    +9.848617e-06    
+5.325000e+01    -1.174915e-05    -8.392849e-10    -1.160176e-05    -4.312988e-09    +2.590134e+01    +2.470838e+01    -1.815460e-04    -9.397405e-06    
+5.350000e+01    -4.976074e-06    -8.915262e-10    -8.954469e-06    -4.580740e-09    +2.590153e+01    +2.470857e+01    +2.357307e-04    +3.057573e-05    
+5.375000e+01    +5.369821e-06    -9.748792e-10    -8.117417e-06    -5.007936e-09    +2.590182e+01    +2.470886e+01    -1.529635e-04    -2.387932e-05    
+5.400000e+01    -1.060363e-05    -8.250689e-10    -1.075434e-05    -4.240058e-09    +2.590137e+01    +2.470841e+01    +2.517590e-05    +2.783914e-06    
+5.425000e+01    -1.731021e-05    -7.426706e-10    -1.326471e-05    -3.817642e-09    +2.590119e+01    +2.470822e+01    -7.882858e-05    -2.286684e-05    
+5.450000e+01    -8.354852e-06    -8.396630e-10    -9.357260e-06    -4.314851e-09    +2.590143e+01    +2.470847e+01    +1.504715e-04    +5.412643e-05    
+5.475000e+01    -1.765254e-05    -8.196503e-10    -5.142445e-06    -4.212431e-09    +2.590115e+01    +2.470821e+01    -2.248530e-04    -2.040791e-05    
+5.500000e+01    -1.384340e-05    -8.500931e-10    -5.817970e-06    -4.368462e-09    +2.590126e+01    +2.470832e+01    +2.553261e-04    +1.500371e-05    
+5.525000e+01    +1.149991e-05    -9.851491e-10    -7.516335e-06    -5.060444e-09    +2.590199e+01    +2.470904e+01    -5.257956e-05    -2.859063e-05    
+5.550000e+01    +8.603889e-06    -9.631276e-10    -1.181885e-05    -4.947587e-09    +2.590192e+01    +2.470896e+01    +2.941137e-05    -5.829469e-06    
+5.575000e+01    +4.635492e-07    -8.522126e-10    -1.422239e-05    -4.378987e-09    +2.590170e+01    +2.470872e+01    -9.453409e-05    -1.339884e-05    
+5.600000e+01    +8.153478e-06    -9.517446e-10    -1.240706e-05    -4.889225e-09    +2.590191e+01    +2.470894e+01    +1.560535e-04    +2.792149e-05    
+5.625000e+01    +1.648052e-06    -8.996853e-10    -1.024554e-05    -4.622415e-09    +2.590172e+01    +2.470876e+01    -2.080969e-04    -1.062936e-05    
+5.650000e+01    -1.805354e-06    -8.524628e-10    -8.760661e-06    -4.380330e-09    +2.590162e+01    +2.470866e+01    +1.804697e-04    +2.250838e-05    
+5.675000e+01    +7.984465e-06    -9.312037e-10    -7.938853e-06    -4.783899e-09    +2.590189e+01    +2.470894e+01    -1.021511e-04    -1.593391e-05    
+5.700000e+01    +7.178130e-06    -9.273530e-10    -8.739765e-06    -4.764171e-09    +2.590187e+01    +2.470892e+01    +9.570043e-05    +9.526614e-06    
+5.725000e+01    -6.691095e-07    -8.577333e-10    -9.264544e-06    -4.407332e-09    +2.590165e+01    +2.470869e+01    -1.584783e-04    -1.372485e-05    
+5.750000e+01    +5.958868e-06    -9.131544e-10    -8.278948e-06    -4.691388e-09    +2.590184e+01    +2.470888e+01    +2.115022e-04    +2.160961e-05    
+5.775000e+01    +7.630223e-06    -9.318603e-10    -7.479927e-06    -4.787276e-09    +2.590188e+01    +2.470893e+01    -1.981313e-04    -1.521745e-05    
+5.800000e+01    -4.418146e-06    -8.351335e-10    -7.943107e-06    -4.291522e-09    +2.590154e+01    +2.470858e+01    +1.017444e-04    +1.151201e-05    
+5.825000e+01    +3.647701e-07    -8.673780e-10    -9.811431e-06    -4.456771e-09    +2.590168e+01    +2.470872e+01    -6.348105e-05    -2.645860e-05    
+5.850000e+01    +5.082908e-06    -9.290132e-10    -1.183817e-05    -4.772736e-09    +2.590182e+01    +2.470886e+01    +1.012262e-04    +1.024473e-05    
+5.875000e+01    -5.746903e-06    -8.051844e-10    -1.186376e-05    -4.137965e-09    +2.590151e+01    +2.470855e+01    -1.878646e-04    -1.044952e-05    
+5.900000e+01    +1.903050e-06    -8.702375e-10    -9.372075e-06    -4.471404e-09    +2.590172e+01    +2.470877e+01    +2.490643e-04    +3.038303e-05    
+5.925000e+01    +1.133631e-05    -9.531301e-10    -8.237035e-06    -4.896267e-09    +2.590199e+01    +2.470903e+01    -1.735982e-04    -2.130271e-05    
+5.950000e+01    -1.183710e-05    -7.274286e-10    -1.151085e-05    -3.739340e-09    +2.590134e+01    +2.470837e+01    -1.178902e-05    -4.887829e-06    
+5.975000e+01    -2.065896e-05    -6.078375e-10    -1.565585e-05    -3.126209e-09    +2.590110e+01    +2.470812e+01    -5.878589e-05    -2.827212e-05    
+6.000000e+01    -1.666969e-05    -6.756675e-10    -1.580778e-05    -3.473987e-09    +2.590122e+01    +2.470823e+01    +9.070004e-05    +2.705665e-05    
+6.025000e+01    -2.210471e-05    -6.124287e-10    -1.326039e-05    -3.149779e-09    +2.590105e+01    +2.470808e+01    -1.341802e-04    -6.677559e-06    
+6.050000e+01    -1.449046e-05    -6.904813e-10    -1.059664e-05    -3.549919e-09    +2.590126e+01    +2.470830e+01    +1.950942e-04    +2.798762e-05    
+6.075000e+01    -1.056245e-05    -7.359916e-10    -9.223174e-06    -3.783232e-09    +2.590137e+01    +2.470841e+01    -1.636701e-04    -1.699992e-05    
+6.100000e+01    -2.393394e-05    -6.034357e-10    -1.103919e-05    -3.103694e-09    +2.590099e+01    +2.470803e+01    +5.669818e-05    +2.471806e-06    
+6.125000e+01    -2.244374e-05    -6.157256e-10    -1.351684e-05    -3.166696e-09    +2.590104e+01    +2.470807e+01    -4.477658e-05    -2.229302e-05    
+6.150000e+01    -1.635901e-05    -7.119592e-10    -1.521513e-05    -3.660094e-09    +2.590122e+01    +2.470824e+01    +9.345441e-05    +8.706704e-06    
+6.175000e+01    -2.698369e-05    -5.643095e-10    -1.411243e-05    -2.903096e-09    +2.590092e+01    +2.470794e+01    -1.784518e-04    +1.149403e-07    
+6.200000e+01    -1.739870e-05    -6.483514e-10    -9.926974e-06    -3.333930e-09    +2.590117e+01    +2.470821e+01    +2.551318e-04    +3.336867e-05    
+6.225000e+01    -3.643873e-06    -7.726332e-10    -8.098556e-06    -3.971015e-09    +2.590156e+01    +2.470861e+01    -1.450932e-04    -1.874133e-05    
+6.250000e+01    -2.007270e-05    -6.202346e-10    -1.110463e-05    -3.189786e-09    +2.590110e+01    +2.470814e+01    +1.366259e-05    -5.307290e-06    
+6.275000e+01    -2.667029e-05    -5.351937e-10    -1.377215e-05    -2.753779e-09    +2.590092e+01    +2.470795e+01    -6.644332e-05    -1.603288e-05    
+6.300000e+01    -2.455567e-05    -5.679233e-10    -1.434567e-05    -2.921593e-09    +2.590099e+01    +2.470801e+01    +8.336027e-05    +1.144475e-05    
+6.325000e+01    -3.219479e-05    -4.654205e-10    -1.387360e-05    -2.396042e-09    +2.590077e+01    +2.470779e+01    -1.444733e-04    -7.668216e-06    
+6.350000e+01    -1.686112e-05    -6.366275e-10    -1.048155e-05    -3.273804e-09    +2.590119e+01    +2.470823e+01    +2.671426e-04    +3.480464e-05    
+6.375000e+01    -1.211682e-05    -6.993843e-10    -8.208493e-06    -3.595553e-09    +2.590132e+01    +2.470836e+01    -2.291882e-04    -1.662018e-05    
+6.400000e+01    -3.970221e-05    -4.425439e-10    -1.087226e-05    -2.278842e-09    +2.590054e+01    +2.470758e+01    +8.505116e-06    -4.689921e-06    
+6.425000e+01    -4.469906e-05    -3.763900e-10    -1.467565e-05    -1.939646e-09    +2.590041e+01    +2.470743e+01    -4.847999e-05    -2.573726e-05    
+6.450000e+01    -4.283366e-05    -4.130775e-10    -1.715172e-05    -2.127767e-09    +2.590047e+01    +2.470749e+01    +6.340321e-05    +5.928739e-06    
+6.475000e+01    -4.709832e-05    -3.319619e-10    -1.904166e-05    -1.711831e-09    +2.590036e+01    +2.470737e+01    -9.752050e-05    -2.104824e-05    
+6.500000e+01    -3.230402e-05    -5.593689e-10    -1.317142e-05    -2.877845e-09    +2.590076e+01    +2.470779e+01    +2.158750e-04    +6.801014e-05    
+6.525000e+01    -3.145970e-05    -6.140067e-10    -7.816059e-06    -3.158032e-09    +2.590077e+01    +2.470781e+01    -2.091204e-04    -2.516726e-05    
+6.550000e+01    -4.592688e-05    -4.899437e-10    -1.064369e-05    -2.522023e-09    +2.590036e+01    +2.470740e+01    +9.338293e-05    +2.546210e-06    
+6.575000e+01    -3.744626e-05    -5.798507e-10    -1.219395e-05    -2.982965e-09    +2.590061e+01    +2.470764e+01    -2.553794e-05    -1.494828e-05    
+6.600000e+01    -2.849657e-05    -7.002814e-10    -1.322743e-05    -3.600407e-09    +2.590087e+01    +2.470790e+01    +9.713547e-05    +6.680459e-06    
+6.625000e+01    -4.126071e-05    -5.408766e-10    -1.266373e-05    -2.783156e-09    +2.590050e+01    +2.470753e+01    -1.992486e-04    -2.170910e-06    
+6.650000e+01    -2.898138e-05    -6.353341e-10    -8.359847e-06    -3.267367e-09    +2.590084e+01    +2.470788e+01    +2.974832e-04    +3.660199e-05    
+6.675000e+01    -1.249577e-05    -7.550307e-10    -6.668907e-06    -3.880892e-09    +2.590130e+01    +2.470835e+01    -1.655984e-04    -2.307447e-05    
+6.700000e+01    -3.016107e-05    -6.132812e-10    -1.026861e-05    -3.154292e-09    +2.590081e+01    +2.470785e+01    +2.427596e-05    -5.723117e-06    
+6.725000e+01    -3.352051e-05    -5.670710e-10    -1.432337e-05    -2.917369e-09    +2.590073e+01    +2.470775e+01    -5.115150e-05    -2.671499e-05    
+6.750000e+01    -3.248085e-05    -5.861815e-10    -1.547828e-05    -3.015356e-09    +2.590076e+01    +2.470778e+01    +5.946876e-05    +1.747570e-05    
+6.775000e+01    -3.824230e-05    -5.014882e-10    -1.542439e-05    -2.581114e-09    +2.590060e+01    +2.470762e+01    -1.055604e-04    -1.704458e-05    
+6.800000e+01    -2.494896e-05    -6.689145e-10    -1.116400e-05    -3.439505e-09    +2.590096e+01    +2.470800e+01    +2.119071e-04    +5.112772e-05    
+6.825000e+01    -2.690959e-05    -6.855390e-10    -7.663799e-06    -3.524798e-09    +2.590090e+01    +2.470794e+01    -2.275921e-04    -2.312613e-05    
+6.850000e+01    -4.442509e-05    -5.362490e-10    -1.017732e-05    -2.759492e-09    +2.590040e+01    +2.470744e+01    +8.746816e-05    +3.017924e-06    
+6.875000e+01    -3.510127e-05    -6.328331e-10    -1.299328e-05    -3.254651e-09    +2.590068e+01    +2.470771e+01    -1.287757e-05    -2.554561e-05    
+6.900000e+01    -2.606505e-05    -7.719699e-10    -1.538879e-05    -3.968006e-09    +2.590095e+01    +2.470797e+01    +8.516733e-05    +6.381599e-06    
+6.925000e+01    -3.545280e-05    -6.339778e-10    -1.490619e-05    -3.260528e-09    +2.590068e+01    +2.470770e+01    -1.602694e-04    -2.520810e-06    
+6.950000e+01    -2.572399e-05    -7.279711e-10    -1.039686e-05    -3.742374e-09    +2.590094e+01    +2.470798e+01    +2.380999e-04    +3.859542e-05    
+6.975000e+01    -1.784505e-05    -8.162909e-10    -7.207963e-06    -4.195137e-09    +2.590115e+01    +2.470820e+01    -1.750683e-04    -1.308424e-05    
+7.000000e+01    -2.811433e-05    -7.389968e-10    -8.284482e-06    -3.798968e-09    +2.590086e+01    +2.470791e+01    +9.291402e-05    +4.472088e-06    
+7.025000e+01    -2.115985e-05    -7.941712e-10    -1.118689e-05    -4.081773e-09    +2.590107e+01    +2.470811e+01    -3.727814e-05    -2.769132e-05    
+7.050000e+01    -1.408999e-05    -8.939793e-10    -1.365556e-05    -4.593452e-09    +2.590128e+01    +2.470831e+01    +9.383704e-05    +7.941890e-06    
+7.075000e+01    -2.446604e-05    -7.566747e-10    -1.355084e-05    -3.889552e-09    +2.590099e+01    +2.470801e+01    -1.768455e-04    -7.104056e-06    
+7.100000e+01    -1.490927e-05    -8.447749e-10    -9.909518e-06    -4.341149e-09    +2.590125e+01    +2.470828e+01    +2.532997e-04    +3.623459e-05    
+7.125000e+01    -1.809793e-06    -9.619118e-10    -8.135312e-06    -4.941538e-09    +2.590161e+01    +2.470866e+01    -1.485039e-04    -2.204094e-05    
+7.150000e+01    -1.926314e-05    -7.959416e-10    -1.126768e-05    -4.090815e-09    +2.590113e+01    +2.470816e+01    +8.877128e-06    -3.018004e-06    
+7.175000e+01    -2.460555e-05    -7.226766e-10    -1.534407e-05    -3.715204e-09    +2.590099e+01    +2.470801e+01    -5.161640e-05    -2.959313e-05    
+7.200000e+01    -2.654746e-05    -6.930796e-10    -1.754315e-05    -3.563461e-09    +2.590094e+01    +2.470795e+01    +3.608108e-05    +1.200049e-05    
+7.225000e+01    -3.350452e-05    -5.724106e-10    -1.796448e-05    -2.944761e-09    +2.590074e+01    +2.470775e+01    -9.173752e-05    -1.537116e-05    
+7.250000e+01    -2.138541e-05    -7.404653e-10    -1.215382e-05    -3.806370e-09    +2.590107e+01    +2.470810e+01    +1.886904e-04    +6.185644e-05    
+7.275000e+01    -2.210311e-05    -7.759982e-10    -6.995548e-06    -3.988610e-09    +2.590103e+01    +2.470808e+01    -1.944320e-04    -2.059023e-05    
+7.300000e+01    -2.793989e-05    -7.370165e-10    -8.318610e-06    -3.788820e-09    +2.590087e+01    +2.470791e+01    +1.477377e-04    +1.000573e-05    
+7.325000e+01    -1.439760e-05    -8.451848e-10    -1.020534e-05    -4.343246e-09    +2.590126e+01    +2.470830e+01    -3.939932e-05    -2.509960e-05    
+7.350000e+01    -1.014083e-05    -9.022612e-10    -1.264108e-05    -4.635847e-09    +2.590139e+01    +2.470842e+01    +7.345348e-05    +5.613680e-06    
+7.375000e+01    -1.963869e-05    -7.847814e-10    -1.259474e-05    -4.033598e-09    +2.590112e+01    +2.470815e+01    -1.494364e-04    -5.242944e-06    
+7.400000e+01    -7.630310e-06    -8.925560e-10    -8.826264e-06    -4.586025e-09    +2.590145e+01    +2.470849e+01    +2.455034e-04    +3.539077e-05    
+7.425000e+01    -6.203992e-06    -9.174376e-10    -7.313489e-06    -4.713591e-09    +2.590149e+01    +2.470853e+01    -2.340928e-04    -2.328857e-05    
+7.450000e+01    -2.530724e-05    -7.596027e-10    -9.357936e-06    -3.904605e-09    +2.590095e+01    +2.470799e+01    +8.126689e-05    +6.932998e-06    
+7.475000e+01    -1.775033e-05    -8.291813e-10    -1.202024e-05    -4.261260e-09    +2.590117e+01    +2.470820e+01    -2.081165e-05    -2.823145e-05    
+7.500000e+01    -1.078284e-05    -9.318103e-10    -1.447539e-05    -4.787400e-09    +2.590138e+01    +2.470840e+01    +7.655162e-05    +8.590296e-06    
