# git commit hash:    d0a187f 
time    costs    
+4.175000e+01    +3.251757e-02    
+4.200000e+01    +1.763541e-02    
+4.225000e+01    +1.109758e-02    
+4.250000e+01    +8.931244e-03    
+4.275000e+01    +7.894815e-03    
+4.300000e+01    +6.525316e-03    
+4.325000e+01    +4.833280e-03    
+4.350000e+01    +3.432800e-03    
+4.375000e+01    +2.502265e-03    
+4.400000e+01    +1.908857e-03    
+4.425000e+01    +1.437730e-03    
+4.450000e+01    +1.027802e-03    
+4.475000e+01    +7.038065e-04    
+4.500000e+01    +4.488522e-04    
+4.525000e+01    +2.618339e-04    
+4.550000e+01    +1.438328e-04    
+4.575000e+01    +8.453539e-05    
+4.600000e+01    +6.235214e-05    
+4.625000e+01    +5.421273e-05    
+4.650000e+01    +4.564154e-05    
+4.675000e+01    +3.365051e-05    
+4.700000e+01    +2.332216e-05    
+4.725000e+01    +1.694510e-05    
+4.750000e+01    +1.296395e-05    
+4.775000e+01    +9.803673e-06    
+4.800000e+01    +7.025564e-06    
+4.825000e+01    +4.830761e-06    
+4.850000e+01    +3.096868e-06    
+4.875000e+01    +1.814819e-06    
+4.900000e+01    +9.976317e-07    
+4.925000e+01    +5.824569e-07    
+4.950000e+01    +4.257468e-07    
+4.975000e+01    +3.693543e-07    
