# git commit hash:    d0a187f 
time    tau_l    tau_gama    
+2.825000e+01    +5.000010e-03    +5.000010e-03    
+2.850000e+01    +5.000010e-03    +5.000010e-03    
+2.875000e+01    +5.000010e-03    +5.000010e-03    
+2.900000e+01    +5.000010e-03    +5.000010e-03    
+2.925000e+01    +5.000010e-03    -3.168563e-03    
+2.950000e+01    +5.000010e-03    +1.952646e-03    
+2.975000e+01    +5.000010e-03    +1.408975e-03    
+3.000000e+01    +5.000010e-03    +6.204056e-04    
+3.025000e+01    +3.443309e-03    +1.635344e-04    
+3.050000e+01    -5.000010e-03    +2.173663e-03    
+3.075000e+01    -5.000010e-03    +4.287880e-03    
+3.100000e+01    -5.000010e-03    +3.207185e-03    
+3.125000e+01    -5.000010e-03    +1.971938e-03    
+3.150000e+01    -5.000010e-03    +1.423947e-03    
+3.175000e+01    -5.000010e-03    +1.151536e-03    
+3.200000e+01    -5.000010e-03    +1.122519e-03    
+3.225000e+01    -5.000010e-03    +1.281831e-03    
+3.250000e+01    -5.000010e-03    +1.610167e-03    
+3.275000e+01    -5.000010e-03    +2.058524e-03    
+3.300000e+01    -5.000010e-03    +2.566028e-03    
+3.325000e+01    -5.000010e-03    +3.101500e-03    
+3.350000e+01    -5.000010e-03    +3.540698e-03    
+3.375000e+01    -5.000010e-03    +4.212845e-03    
+3.400000e+01    -5.000010e-03    +3.795958e-03    
+3.425000e+01    -5.000010e-03    +2.558581e-03    
+3.450000e+01    -5.000010e-03    +1.689001e-03    
+3.475000e+01    -5.000010e-03    +9.446033e-04    
+3.500000e+01    -5.000010e-03    +2.608178e-04    
+3.525000e+01    -5.000010e-03    -3.946935e-04    
+3.550000e+01    -5.000010e-03    -1.048835e-03    
+3.575000e+01    -5.000010e-03    -1.908565e-03    
+3.600000e+01    -5.000010e-03    -5.000005e-03    
+3.625000e+01    -5.000008e-03    -1.686251e-03    
+3.650000e+01    -5.000008e-03    -8.591263e-04    
+3.675000e+01    -3.916783e-03    -2.214393e-04    
+3.700000e+01    +3.288931e-03    +2.130958e-04    
+3.725000e+01    +3.528567e-03    +5.907324e-05    
+3.750000e+01    +4.267472e-03    -1.451648e-04    
+3.775000e+01    +4.655587e-03    +1.112645e-03    
+3.800000e+01    +4.447790e-03    -5.769864e-04    
+3.825000e+01    +3.906799e-03    -1.629269e-03    
+3.850000e+01    +3.594618e-03    -5.639124e-04    
+3.875000e+01    +4.929027e-03    +5.589482e-04    
+3.900000e+01    +4.999988e-03    -4.351543e-04    
+3.925000e+01    +4.999997e-03    -3.513372e-04    
+3.950000e+01    +4.999998e-03    -2.268166e-04    
+3.975000e+01    +4.999995e-03    -9.500146e-05    
+4.000000e+01    +4.999976e-03    +1.006168e-05    
+4.025000e+01    +1.962311e-03    -2.503784e-04    
+4.050000e+01    -5.441990e-04    -1.124330e-03    
+4.075000e+01    -7.141845e-04    -5.769717e-05    
+4.100000e+01    -6.090286e-04    +1.117722e-05    
+4.125000e+01    -7.257655e-04    +4.912327e-05    
+4.150000e+01    -1.026450e-03    +8.596371e-05    
+4.175000e+01    -1.368964e-03    +1.365233e-04    
+4.200000e+01    -1.554216e-03    +2.400423e-04    
+4.225000e+01    -1.656179e-03    +8.173416e-04    
+4.250000e+01    -2.220888e-03    +1.881245e-04    
+4.275000e+01    -4.899753e-03    +2.064492e-04    
+4.300000e+01    -2.021982e-03    +2.584025e-05    
+4.325000e+01    -2.022001e-03    -3.402824e-05    
+4.350000e+01    -9.732077e-04    -7.707573e-05    
+4.375000e+01    -4.631524e-04    -1.248239e-04    
+4.400000e+01    +8.170929e-05    -5.263991e-04    
+4.425000e+01    +3.593072e-04    -1.039280e-05    
+4.450000e+01    +2.690454e-04    +1.065510e-05    
+4.475000e+01    +2.535136e-04    +1.927065e-05    
+4.500000e+01    +3.492460e-04    +2.282861e-05    
+4.525000e+01    +4.906061e-04    +2.264567e-05    
+4.550000e+01    +5.886169e-04    +2.739864e-05    
+4.575000e+01    +6.368588e-04    +3.067554e-04    
+4.600000e+01    +8.127023e-04    +2.822801e-05    
+4.625000e+01    +1.870186e-03    -1.471931e-05    
+4.650000e+01    +2.084633e-03    -2.113596e-05    
+4.675000e+01    +5.121494e-04    -1.907257e-05    
+4.700000e+01    +3.718005e-04    -2.673318e-05    
+4.725000e+01    +1.699557e-04    -5.477361e-05    
+4.750000e+01    -5.773648e-05    -2.242401e-04    
+4.775000e+01    -1.546956e-04    -8.912965e-06    
+4.800000e+01    -1.118270e-04    +2.213106e-06    
+4.825000e+01    -1.032548e-04    +7.574069e-06    
+4.850000e+01    -1.453908e-04    +1.094437e-05    
+4.875000e+01    -2.080038e-04    +1.413507e-05    
+4.900000e+01    -2.513950e-04    +1.987515e-05    
+4.925000e+01    -2.817462e-04    +1.445279e-04    
+4.950000e+01    -3.617435e-04    +2.549901e-05    
+4.975000e+01    -8.214700e-04    +1.235947e-05    
